time_series,label,bearing_id
"[-0.0027614  -0.09632403  0.11370459 ... -0.05360359  0.060101
  0.00763445]",2,B007_0
"[-0.05717717  0.06789788  0.16032347 ... -0.05392846 -0.01591864
  0.01299481]",2,B007_0
"[-0.0721212   0.30310395  0.03313677 ...  0.21100323 -0.10314631
 -0.19865816]",2,B007_1
"[ 0.12734914  0.05246655 -0.23374415 ...  0.12328826  0.18371413
 -0.04515697]",2,B007_1
"[-0.31447441  0.12198878  0.39146866 ...  0.06529892  0.03898443
 -0.10931884]",2,B007_2
"[-0.09307533  0.01510647 -0.05392846 ... -0.11549138  0.12686184
  0.11646599]",2,B007_2
"[ 0.09031393  0.22497265 -0.10883154 ... -0.02322822 -0.19719625
 -0.00844663]",2,B007_3
"[ 0.13254707 -0.11240511 -0.14164343 ...  0.01039585  0.18420144
 -0.00438575]",2,B007_3
"[-0.46781317  0.17900351  0.48129529 ... -0.01234507 -0.03346164
  0.03898443]",2,B014_0
"[-0.01819273 -0.09210072  0.01884248 ...  0.10493309 -0.22497265
  0.20385609]",2,B014_0
"[ 0.00552279 -0.10379605 -0.04548184 ... -0.04239557 -0.1081818
 -0.11386703]",2,B014_1
"[-0.00422331 -0.00503549 -0.09047637 ...  0.05555281 -0.07796886
 -0.16227269]",2,B014_1
"[ 0.0688725   0.04288287  0.05360359 ... -0.07455772 -0.05214168
  0.14261804]",2,B014_2
"[ 0.02875102 -0.08511601  0.07926834 ...  0.07829373  0.23065788
 -0.15658747]",2,B014_2
"[ 0.1054204  -0.10736962 -0.16340974 ... -0.00341114  0.02095413
  0.04791836]",2,B014_3
"[ 0.09177585  0.08073026  0.05993856 ... -0.01445673 -0.05214168
 -0.03995904]",2,B014_3
"[-0.00795932  0.02533988  0.00016244 ... -0.04060878 -0.0545782
  0.1299481 ]",2,B021_0
"[ 0.10152196  0.09096367  0.05945126 ...  0.05912639  0.06724814
 -0.00032487]",2,B021_0
"[ 2.30008144e-01  1.88587186e-01 -4.26229780e-01 ... -3.37865070e-02
 -1.31247585e-01 -1.62435130e-04]",2,B021_1
"[ 0.07829373 -0.10574527 -0.02761397 ...  0.04938028 -0.02826371
  0.11549138]",2,B021_1
"[ 0.25404854 -0.05003002 -0.01315725 ...  0.07455772 -0.05376603
  0.05360359]",2,B021_2
"[ 0.19069884 -0.13287194 -0.21912499 ...  0.05376603  0.08154244
 -0.02810128]",2,B021_2
"[ 0.07244607  0.04791836 -0.25079984 ...  0.16633357 -0.07796886
  0.04515697]",2,B021_3
"[ 0.04889297 -0.02501501 -0.11646599 ...  0.07114659  0.15463824
 -0.00828419]",2,B021_3
[-0.2652988  1.6219034 -0.0358072 ... -0.4565418 -1.9189404  0.5623358],2,B028_0
[ 1.5128542 -0.6819644 -0.7617168 ... -5.566392  -0.8374002  5.5224468],2,B028_0
[ 1.6381794 -3.084302  -0.9228492 ...  0.073242  -2.3616476 -0.410969 ],2,B028_1
[ 1.757808   1.0953748 -0.5354804 ...  0.9676082  1.01725   -0.9244768],2,B028_1
[-1.6894488  0.166829   2.4218688 ...  1.1222302 -2.3868754 -0.8797178],2,B028_2
[ 2.3917582  0.1489254 -2.1541286 ... -4.0421446 -4.2814018  3.6026926],2,B028_2
[-6.5584142  4.0616758  7.613099  ... -0.5729152  3.2299722  1.5079714],2,B028_3
[-2.9809494 -1.4575158  2.5585872 ... -1.4737918  8.6759218  2.1720322],2,B028_3
"[-0.08300435 -0.19573433  0.23341928 ... -0.08073026 -0.18988667
  0.11760303]",1,IR007_0
"[ 0.21262758 -0.07439529 -0.11987713 ...  0.74866351  0.22952084
 -0.34257569]",1,IR007_0
"[-0.27760164 -0.04434479  0.11760303 ... -0.0545782  -0.12523749
 -0.13498359]",1,IR007_1
"[-0.07082172  0.11874008  0.1294608  ...  0.07472016  1.09302599
  0.82500802]",1,IR007_1
"[-0.09323776  0.1872877   0.21766307 ...  0.00487305 -0.13774499
 -0.18809988]",1,IR007_2
"[ 0.01299481  0.17819134  0.42281864 ... -0.04580671  0.03248703
 -0.00503549]",1,IR007_2
"[ 0.22269856  0.09323776 -0.14651649 ... -0.23748016  0.35573293
  0.16324731]",1,IR007_3
"[-0.60523329 -0.35134719  0.30586535 ...  0.07764399 -0.14018152
 -0.09957273]",1,IR007_3
"[-0.22383561 -0.20954132  0.34533709 ...  0.17006958 -0.02485257
  0.00178679]",1,IR014_0
"[ 0.03541086 -0.00471062  0.0032487  ...  0.12702427  0.13059784
  0.184039  ]",1,IR014_0
"[-0.04044635  0.00373601  0.02014196 ...  0.04401992 -0.02209118
  0.01673082]",1,IR014_1
"[ 0.04775593 -0.0300505  -0.07390798 ...  0.03573573 -0.07585721
 -0.06871006]",1,IR014_1
"[-0.02663936  0.02647693  0.1262121  ... -0.123938   -0.11500407
  0.06627353]",1,IR014_2
"[-0.01494403 -0.12734914  0.07585721 ...  0.02907589  0.07390798
  0.09047637]",1,IR014_2
"[-0.00990854  0.06919737 -0.1059077  ...  0.02712667  0.20076982
  0.13076028]",1,IR014_3
"[ 0.03833469  0.05717717  0.05311629 ... -0.06269996  0.20856671
 -0.03459868]",1,IR014_3
"[ 1.18943124 -0.17786647 -0.77481557 ... -0.07025319  0.00609132
  0.14537944]",1,IR021_0
"[ 0.08446627 -0.07147146 -0.04954271 ...  0.60994391 -0.2002013
 -0.15187685]",1,IR021_0
"[ 0.17136906  0.11776547 -0.09705499 ...  0.15309511 -0.16568383
 -0.2667997 ]",1,IR021_1
"[ 0.14416118  0.30456587 -0.31187545 ...  0.4836506  -2.33622325
 -0.38050429]",1,IR021_1
"[-0.40202695  0.54821856  0.93156547 ... -0.32283982 -0.07268972
  0.14456727]",1,IR021_2
"[-0.09421238 -0.28141886  0.12872984 ...  0.21482046 -0.01096437
 -0.41258523]",1,IR021_2
"[-0.20629261 -0.00730958  0.22253613 ... -0.54090898  0.11126806
  0.58598473]",1,IR021_3
