6_ts,bearing_id,label
"[ 0.06408691 -0.12207031  0.11291504 ... -0.24414062 -0.07629395
 -0.4699707 ]",K001,0
"[-0.06103516  0.13427734  0.03967285 ...  0.03967285 -0.03356934
 -0.01220703]",K001,0
"[ 0.0213623  -0.10681152 -0.08850098 ... -0.09460449 -0.1159668
 -0.10070801]",K001,0
"[-0.03662109  0.03967285  0.0793457  ...  0.06713867 -0.02441406
 -0.01831055]",K001,0
"[-0.2746582   0.03356934  1.15051269 ... -0.09460449 -0.390625
 -0.02746582]",K001,0
"[-0.24719238  0.03356934  0.26855469 ...  0.40893555  0.04882812
  0.42724609]",K001,0
"[-0.18920898 -0.08239746 -0.11291504 ...  0.1159668   0.17700195
  0.18005371]",K001,0
"[ 0.10986328 -0.02441406 -0.13427734 ...  0.10986328  0.01525879
 -1.6204834 ]",K001,0
"[-0.06408691 -0.03967285  0.02441406 ... -0.41809082 -0.03967285
  0.01525879]",K001,0
"[-0.03967285 -0.50048828 -0.01220703 ... -0.02746582 -0.0579834
 -0.03662109]",K001,0
"[-0.06408691 -0.05493164 -0.06713867 ... -0.07629395  1.07421875
  0.04272461]",K001,0
[0.0579834  0.06103516 0.06713867 ... 0.04577637 0.03662109 0.0213623 ],K001,0
"[ 0.0579834   0.22583008 -0.03051758 ...  0.07629395  0.02441406
 -0.00915527]",K001,0
"[-0.05493164 -0.03662109 -0.01831055 ... -0.12817383 -0.78125
 -0.08544922]",K001,0
"[-0.03662109 -0.04272461 -0.04882812 ... -0.92468262 -0.01220703
  0.04882812]",K001,0
"[-0.05187988 -2.71911621 -0.08850098 ...  0.25024414  0.01525879
 -0.15563965]",K001,0
"[ 0.03967285  0.03967285  0.03051758 ... -0.02746582 -0.00305176
 -0.12817383]",K001,0
"[ 0.0213623  -0.01831055 -0.02746582 ...  0.03356934  0.00610352
 -0.08850098]",K001,0
"[-0.06408691 -0.12207031 -0.12207031 ... -0.03051758 -0.1159668
 -0.08239746]",K001,0
"[-0.75988769 -0.04882812 -0.01220703 ... -0.01525879  0.02441406
  0.06408691]",K001,0
"[ 0.32958984  0.06713867 -0.46081543 ...  0.05187988  0.16174316
  0.04882812]",K001,0
"[-0.01831055 -0.06713867 -0.00915527 ...  0.18005371  0.02441406
  0.38757324]",K001,0
"[ 1.33361816  0.00305176 -0.03662109 ... -0.03662109 -0.02441406
 -0.0579834 ]",K001,0
"[-0.06103516 -0.16174316 -0.27160645 ...  0.12207031 -0.04272461
 -0.12817383]",K001,0
"[ 0.10070801  0.1953125  -0.01525879 ...  0.06713867  0.0793457
  0.07324219]",K001,0
"[ 0.03662109  0.00610352 -0.03051758 ... -0.10986328 -0.36010742
 -0.16784668]",K001,0
"[ 0.06713867  0.06408691  0.01525879 ...  0.08239746  0.04882812
 -0.05187988]",K001,0
"[-0.14648437 -0.20141602 -0.18005371 ... -0.1373291  -1.15051269
  0.04882812]",K001,0
"[-0.0213623   0.0213623   0.05187988 ... -0.06408691 -0.82702637
 -0.00610352]",K001,0
"[-1.14135742 -0.00305176  0.17700195 ...  0.         -0.00915527
 -0.01831055]",K001,0
"[-0.09460449 -0.03356934  0.07629395 ... -0.07019043 -0.04882812
 -0.12512207]",K001,0
"[-0.03051758  0.02746582  0.         ... -0.0213623   0.05493164
  0.01831055]",K001,0
"[ 0.00610352  1.4465332   0.06408691 ... -0.12207031 -0.05187988
 -0.03662109]",K001,0
"[-0.00610352 -0.05493164 -0.02746582 ...  0.02746582 -1.19628906
 -0.02441406]",K001,0
"[-0.0793457   1.15966797  0.02746582 ...  0.07019043  0.59509277
 -0.00610352]",K001,0
"[-0.73852539 -0.07629395 -0.12817383 ... -0.17089844 -0.23803711
 -0.21972656]",K001,0
"[-0.00610352 -0.01525879 -0.03051758 ...  0.06103516  0.0213623
  0.07019043]",K001,0
"[ 0.00610352 -0.07629395 -0.10986328 ...  0.01220703 -0.03356934
 -0.02441406]",K001,0
"[-0.10375977 -0.12512207 -0.04272461 ... -0.14038086  1.02539062
 -0.06103516]",K001,0
"[ 0.20751953  0.15869141 -0.40283203 ... -0.1159668   0.03051758
 -0.0213623 ]",K001,0
"[-0.21972656 -0.24719238 -0.19836426 ... -0.28076172 -0.54016113
 -0.47912598]",K001,0
"[-0.32653809 -0.04577637  0.14343262 ... -0.0213623   0.18920898
  0.58898926]",K001,0
"[-0.18310547  0.30517578  0.11901855 ...  0.0579834  -0.03051758
 -0.04882812]",K001,0
"[-0.12512207  0.00305176  0.00915527 ... -0.05187988  0.07629395
  0.19226074]",K001,0
"[ 0.04272461 -0.91552734 -0.07629395 ...  0.06713867 -0.01831055
  0.02441406]",K001,0
"[ 0.08239746  0.0579834   0.06408691 ...  0.11291504 -0.05493164
 -0.15258789]",K001,0
"[ 0.06408691  0.08850098  0.20446777 ...  0.15258789 -0.12207031
 -0.24719238]",K001,0
"[-0.32958984 -0.5065918  -0.3326416  ...  0.14648437  0.22277832
  0.04577637]",K001,0
"[ 0.29907227  0.07324219 -0.22277832 ... -0.05493164 -0.52490234
 -0.10375977]",K001,0
"[-0.77514648 -0.05493164  0.63171387 ...  0.14038086  0.46691895
  0.03662109]",K001,0
"[-0.10681152 -0.10681152 -0.12207031 ... -0.3692627  -0.30822754
 -0.32958984]",K001,0
"[-1.58691406 -0.25939941 -0.15869141 ... -0.43640137 -0.12817383
  0.12207031]",K001,0
"[ 0.01831055 -0.10375977  0.19836426 ... -0.01831055 -0.33569336
  0.22888184]",K001,0
"[ 0.13122559  0.2532959   0.66223144 ... -0.14038086 -0.19836426
 -0.90332031]",K001,0
"[ 0.00915527  0.01220703 -0.23803711 ... -0.85144043  0.1373291
 -0.17089844]",K001,0
"[-0.14038086  0.88500977 -0.22277832 ...  0.10070801  0.10986328
  0.4119873 ]",K001,0
